countries;countries_with_variant;border_countries
Andorra;Brazil;Italy
Argentina;Canada;Regione Basilicata
Bahrain;India;Regione Campania
Belgium;Nepal;Regione Puglia
Cabo Verde;South Africa;
Chile;;France
Colombia;;Region Bretagne
Costa Rica;;Region Centre-Val de Loire
Croatia;;Region Hauts-de-France
Cyprus;;Region Ile de France
Egypt;;Region Normandie
Estonia;;Region Nouvelle-Aquitaine
Georgia;;Region Occitanie
Hungary;;Region Pays de la Loire
Iran;;Region Provence-Alpes-Cote Azur
Kuwait;; 
Latvia;;Austria
Lithuania;;Land Oberosterreich
Luxembourg;;Land Salzburg
Maldives;; 
Mexico;;Germany
Mongolia;;Land Sachsen
Netherlands;;Land Thuringen
Palestinia;; 
Paraguay;; 
Poland;; 
Qatar;; 
Serbia;; 
Seychelles;;
Slovenia;; 
Sweden;;
Tanzania;;
Turkey;;
Uruguay;;
